,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,new norfolk,90,US,1550987520,93,38.43,-84.81,57.2,21.92
1,jamestown,0,AU,1550987978,24,-33.21,138.6,89.64,8.52
2,liverpool,90,GB,1550987400,93,53.41,-2.98,44.6,4.7
3,airai,64,TL,1550987978,92,-8.93,125.41,76.86,1.48
4,jamshedpur,0,IN,1550984400,37,22.8,86.2,84.2,4.7
5,tabou,0,CI,1550987979,98,4.42,-7.36,82.76,12.55
6,katobu,64,ID,1550987979,80,-4.94,122.53,86.63,1.48
7,sokoni,88,CD,1550987980,95,-12.89,28.78,65.52,3.71
8,cape town,0,FR,1550986200,74,43.58,0.42,50.0,6.93
9,buala,32,SB,1550987980,87,-8.15,159.59,82.94,6.96
10,puerto ayora,0,PH,1550987981,51,8.5,124.75,87.12,5.73
11,butaritari,76,KI,1550987981,100,3.07,172.79,82.49,11.99
12,ixtapa,5,MX,1550983440,100,20.71,-105.21,66.2,1.7
13,tala,40,MX,1550983200,51,20.65,-103.7,59.0,1.7
14,albany,90,US,1550984580,55,42.65,-73.75,37.4,4.7
15,hermanus,92,ZA,1550987983,92,-34.42,19.24,63.68,2.15
16,bluff,8,AU,1550987983,34,-23.58,149.07,90.45,9.98
17,marawi,20,PH,1550987983,42,8.0,124.29,87.53,4.38
18,ayan,92,TR,1550987983,88,40.67,33.6,30.87,3.04
19,mataura,88,NZ,1550987984,65,-46.19,168.86,51.89,13.67
20,punta arenas,24,PH,1550987984,78,11.01,124.6,81.9,5.73
21,murdochville,0,CA,1550987984,67,48.96,-65.49,-1.08,2.93
22,saint-philippe,90,CA,1550986500,68,45.36,-73.48,28.4,3.36
23,busselton,0,AU,1550987985,82,-33.64,115.35,75.6,11.54
24,ahipara,80,NZ,1550987986,87,-35.17,173.16,65.52,18.7
25,pisco,75,PE,1550984400,78,-13.71,-76.2,75.2,3.36
26,tuktoyaktuk,75,CA,1550984400,76,69.44,-133.03,-4.01,5.82
27,baykit,64,RU,1550987987,75,61.68,96.39,19.53,7.07
28,hobart,0,AU,1550984400,44,-42.88,147.33,75.2,14.99
29,avarua,92,CK,1550986200,74,-21.21,-159.78,80.6,10.29
30,qasigiannguit,80,GL,1550983800,78,68.82,-51.19,8.6,10.29
31,amlagora,0,IN,1550987988,53,22.83,87.35,81.27,8.08
32,zaraysk,48,RU,1550987988,83,54.76,38.88,18.59,9.53
33,celestun,0,MX,1550987989,87,20.87,-90.4,80.82,18.03
34,thompson,90,CA,1550984400,70,55.74,-97.86,-0.41,10.29
35,hilo,1,US,1550983980,88,19.71,-155.08,71.6,10.29
36,mindelo,0,PT,1550986200,66,41.31,-8.72,55.4,11.41
37,upernavik,56,GL,1550987990,100,72.79,-56.15,2.61,21.5
38,kapaa,1,US,1550984160,68,22.08,-159.32,73.4,12.75
39,cabedelo,20,BR,1550984400,100,-6.97,-34.84,77.0,1.59
40,omboue,36,GA,1550987991,100,-1.57,9.26,82.53,2.48
41,challapata,0,BO,1550987991,80,-18.9,-66.78,27.81,2.15
42,prince rupert,1,CA,1550984400,63,52.97,-108.38,-9.41,12.75
43,marand,0,IR,1550986200,64,38.43,45.77,35.6,6.93
44,lavrentiya,92,RU,1550987992,92,65.58,-170.99,31.77,33.69
45,laurel,75,US,1550983980,65,45.67,-108.77,8.6,6.93
46,kingman,1,US,1550986500,60,35.19,-114.05,46.4,5.82
47,fortuna,0,ES,1550986200,80,38.18,-1.13,57.2,1.12
48,dikson,76,RU,1550987993,100,73.51,80.55,-1.8,27.76
49,ushuaia,75,AR,1550984400,74,-54.81,-68.31,37.4,23.04
50,mumford,12,GH,1550987994,91,5.26,-0.76,79.02,7.4
51,saskylakh,76,RU,1550987994,65,71.97,114.09,-4.68,18.14
52,gizo,0,IL,1550987400,71,31.8,34.94,53.6,1.12
53,mar del plata,24,CN,1550987995,41,29.86,90.73,20.93,4.72
54,atuona,20,PF,1550987995,99,-9.8,-139.03,81.9,14.56
55,port alfred,0,FR,1550987400,79,46.16,5.57,39.2,1.12
56,coreau,56,BR,1550987996,97,-3.53,-40.66,70.92,2.93
57,sioux lookout,90,US,1550986680,100,46.74,-90.88,30.2,8.05
58,bethel,1,US,1550984160,51,60.79,-161.76,39.2,13.87
59,brae,8,GB,1550987400,81,60.4,-1.35,46.4,14.99
60,aksu,0,KZ,1550986200,78,52.04,76.93,14.0,6.71
61,leh,64,IN,1550987998,85,34.16,77.58,0.68,0.58
62,chokurdakh,8,RU,1550987998,0,70.62,147.9,-30.02,5.39
63,hithadhoo,88,MV,1550987998,100,-0.6,73.08,82.76,10.65
64,bredasdorp,68,ZA,1550984400,88,-34.53,20.04,64.4,3.36
65,aswan,0,EG,1550984400,40,24.09,32.9,53.6,6.93
66,evensk,64,RU,1550987999,100,61.92,159.24,1.62,6.51
67,hasaki,0,JP,1550984400,40,35.73,140.83,53.6,8.05
68,rikitea,80,PF,1550988000,100,-23.12,-134.97,80.1,12.77
69,chuy,92,UY,1550988001,100,-33.69,-53.46,69.48,7.07
70,talnakh,20,RU,1550988001,69,69.49,88.39,-10.53,5.95
71,atambua,32,ID,1550988001,100,-9.11,124.89,81.68,4.94
72,norman wells,1,US,1550987700,69,35.22,-97.44,37.4,17.22
73,mongoumba,0,CD,1550988002,94,3.64,18.59,74.39,3.38
74,rio grande,90,US,1550987700,93,43.45,-89.24,35.6,9.17
75,dryden,90,CA,1550986380,100,49.79,-92.84,24.8,2.24
76,soyo,44,AO,1550988008,95,-6.13,12.37,74.7,2.48
77,santa cruz del norte,0,PH,1550988011,46,17.49,120.43,83.07,5.06
78,kjollefjord,88,NO,1550988012,90,70.95,27.35,37.04,13.11
79,faya,40,SA,1550984400,72,18.39,42.45,62.6,4.7
80,lorengau,92,PG,1550988013,100,-2.02,147.27,78.48,3.6
81,mirnyy,88,RU,1550988014,92,56.57,36.46,28.8,8.08
82,batagay-alyta,36,RU,1550988014,85,67.8,130.41,-16.07,3.6
83,marsabit,0,KE,1550988014,78,2.34,37.99,76.23,7.52
84,mahebourg,75,MU,1550984400,74,-20.41,57.7,86.0,4.7
85,ponta do sol,1,US,1550986500,50,31.9,-95.08,53.6,13.87
86,kargasok,80,RU,1550988016,74,59.06,80.87,21.15,7.63
87,mount isa,0,GB,1550987400,93,53.66,-1.85,39.2,6.93
88,lerwick,24,GB,1550987400,87,60.15,-1.15,46.4,19.46
89,carora,0,VE,1550988017,79,10.17,-70.08,68.54,13.44
90,uruguaiana,0,BR,1550984400,78,-29.77,-57.08,80.6,6.93
91,georgetown,75,GY,1550984400,88,6.8,-58.16,73.4,4.7
92,tasiilaq,8,GL,1550983800,68,65.61,-37.64,24.8,2.24
93,faanui,36,PF,1550988018,100,-16.48,-151.75,82.94,13.44
94,victoria,75,BN,1550986200,74,5.28,115.24,87.8,8.05
95,camacha,56,PT,1550986200,93,33.08,-16.33,62.6,6.93
96,lively,1,US,1550986500,52,33.6,-99.18,42.8,9.17
97,arraial do cabo,0,BR,1550984400,83,-22.84,-46.65,73.4,4.7
98,maceio,40,BR,1550984400,94,-9.67,-35.74,75.2,3.36
99,buzmeyin,20,TM,1550984400,50,38.05,58.21,53.6,6.93
100,pingxiang,92,CN,1550988021,91,27.63,113.85,44.06,3.49
101,constitucion,0,MX,1550988021,35,23.99,-104.67,41.49,6.17
